datetime,text,sentiment,source,sentiment_score,hour,day_of_week
2009-06-03 03:55:32,@cunabula A fine idea. Care to message me your address? ,positive,sentiment140,1.0,3.0,Wednesday
2009-06-01 04:23:47,"I don't remember ever in my LIFE having a throat this sore!!!  it kills, and I'm starvingggg",negative,sentiment140,0.0,4.0,Monday
,"I could see Google doing this. An interface like ChatGPT for dialogue to generate results from their continually updating index.

The magic in AI chat is being able to converse about the results you get. https://t.co/4xs359aLox",positive,chatgpt,1.0,,
2009-05-14 10:09:13,@noatishby Thank you!  It's nice to see you here.,positive,sentiment140,1.0,10.0,Thursday
2009-05-31 02:44:58,Yuckkkkkk!!! Mickey D's is only serving breakfast... ,negative,sentiment140,0.0,2.0,Sunday
2009-06-04 22:32:50,Ohh geee my Internet is down ,negative,sentiment140,0.0,22.0,Thursday
2009-04-07 03:24:27,Finally awake ,positive,sentiment140,1.0,3.0,Tuesday
2009-06-01 17:03:56,Riding down the street screaming songs at the tops of our lungs.  the summer spirit is early i presume,positive,sentiment140,1.0,17.0,Monday
2009-05-17 11:51:43,have been celebrating donut week  Donuts + Revision = fun times!,positive,sentiment140,1.0,11.0,Sunday
2009-05-31 11:44:05,Bought it. ,positive,sentiment140,1.0,11.0,Sunday
,"Microsoft today said that itâs extending its partnership with OpenAI, the startup behind art- and text-generating AI systems like ChatGPT, DALL-E 2 and GPT-3, with a âmulti-year, multi-billion-dollarâ investment.  https://t.co/uvL6ypwWmx",positive,chatgpt,1.0,,
2009-05-30 04:50:30,Crows lose last game 1-0 to Didcot. Simpike Jr subs bench again  it's down to the maths now likely I'll be home in time for cup final,negative,sentiment140,0.0,4.0,Saturday
2009-06-19 19:52:23,i hate myself for losing you. i hate myself from A to U. ,negative,sentiment140,0.0,19.0,Friday
2009-05-31 23:05:33,@aplusk mmmm no to the music...just my opinion ,positive,sentiment140,1.0,23.0,Sunday
2009-06-16 06:10:57,@katyb_ No need to rub it in    can you learn it for me? hehe,negative,sentiment140,0.0,6.0,Tuesday
,@rekayto Demande a chatgpt,neutral,chatgpt,0.5,,
2009-06-06 22:35:11,@itschristablack JESUS OF COURSE!! HE IS THE BEST IN THE WORLD!!! AND HE LOVE YOU ,positive,sentiment140,1.0,22.0,Saturday
2009-05-17 22:38:13,"@claylevering i'm working on some swag. not sure what, but something. also i'm hoping to blog live. ",positive,sentiment140,1.0,22.0,Sunday
